Image name,Ground truth label
1_test,"When people ask what I see in you, I just smile and look away because I'm afraid if they knew, they'd fall in love with you too "
2_test,The quick brown fox jumped over the 5 lazy dogs!
3_test,Creating an OCR Communication App with Tesseract.js and React (Part 1)
4_test,Long-Term Care Insurance
5_test,How to print a line break in Python
6_test,3. Write a program that prompts the user for two sentences and prints the combined words from both in alphabetical order. You can ignore the case. 
7_test,"Therefore, Jakob has studied every night for a week. Therefore, he should get a good grade on the test."
8_test,5 Milton would insert into the printed text of his poem his own anticipation that his epic would receive the same universal approbation as Homer's and Virgil's.
9_test,"Word processing: This is the process of manipulating text, characters, words, and sentences in such a manners as to make the final document free of errors and attractive to look at. "
10_test,"It doesn't matter what others are doing, it matters what you are doing."
11_test,"If the path be beautiful, let us not ask where it leads. - Anatole France"
12_test,"Everyone has three lives: a public life, a private life, and a secret life."
13_test,The future belongs to those who believe in the beauty of their dreams. ELEANOR ROOSEVELT
14_test,Distance doesn't matter when two souls are united.
15_test,"EVERYONE WILL TEXT YOU, ONLY WHEN THEY NEED YOU."
16_test,"Quotes For Instagram Notes In English, Check Out Instagram Notes Quotes And Ideas"
17_test,FAILURE is not the opposite of success it's PART OF SUCCESS
18_test,"""My mother was my role model before I even knew what the word was."" - LISA LESLIE TOWN&COUNTRY"
19_test,A poem is the very image of life expressed in its eternal truth. - Percy Bysshe Shelley
20_test,"I never know you could matter so much to me, even with miles distance in between us."
21_test,Small and Simple Thoughts in one line
22_test,"The greatest glory in living lies not in never falling, but in rising every time we fall.  NELSON MANDELA"
23_test,Distance doesn't matter when two souls are united.
24_test,""" Perseverance is not a long race; it is many short races one after the other. Walter Elliot"
25_test,"If you set your goals ridiculously high and it's a failure, you will fail above everyone one else's success. JAMES CAMERON "
26_test,"You will face many defeats in life, but never let yourself be defeated.  MAYA ANGELOU"
27_test,Thank you for always being my rainbow after the storm
28_test,Change is the end result of all true learning. Leo Buscaglia
29_test,"""No matter how old she may be, sometimes a girl just needs her mom."""
30_test,"""The beginning is always today."" - MARK SHELLEY"
